Date
4/13/1911
4/24/1912
4/23/1913
5/2/1914
4/17/1915
4/28/1916
5/9/1917
4/6/1918
4/17/1919
5/2/1920
4/7/1921
4/25/1922
4/29/1923
5/3/1924
4/13/1925
5/1/1926
4/27/1927
4/28/1928
4/6/1929
4/9/1930
4/10/1931
4/22/1932
4/29/1933
4/24/1934
4/14/1935
5/5/1936
5/8/1937
3/31/1938
4/26/1939
4/28/1940
4/13/1941
4/15/1942
4/22/1943
5/1/1944
3/28/1945
4/2/1946
4/29/1947
4/19/1948
4/20/1949
5/2/1950
5/1/1951
4/26/1952
4/11/1953
4/15/1954
4/17/1955
4/24/1956
4/18/1957
4/14/1958
4/21/1959
4/19/1960
4/14/1961
4/22/1962
4/17/1963
4/26/1964
4/29/1965
4/20/1966
4/14/1967
4/8/1968
4/20/1969
4/11/1970
4/21/1971
5/12/1972
4/13/1973
4/30/1974
4/29/1975
4/14/1976
4/23/1977
4/28/1978
5/5/1979
4/24/1980
4/15/1981
4/23/1982
4/27/1983
4/25/1984
4/20/1985
4/19/1986
4/15/1987
4/16/1988
4/29/1989
4/18/1990
4/19/1991
4/22/1992
4/18/1993
4/17/1994
4/25/1995
5/13/1996
4/29/1997
4/11/1998
4/9/1999
3/26/2000
4/24/2001
4/18/2002
4/27/2003
4/19/2004
4/16/2005
4/11/2006
4/21/2007
4/26/2008
4/17/2009
4/2/2010
4/11/2011
3/25/2012
5/13/2013
5/9/2014
4/12/2015
3/30/2016
4/8/2017
5/10/2018
4/24/2019
4/9/2019
